Board,CORE,594,656,704,752,792,840,900,1008,1056,1104
OK-1,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
OK-2,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps,X,X,X,X
OK-4,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
OK-5,0,563 fps, 622 fps, 667 fps, 713 fps, 750 fps, 807 fps, 852 fps,X,X,X
OK-6,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
OK-7,0,563 fps, 622 fps, 667 fps, 713 fps, 750 fps, 807 fps, 852 fps,X,X,X
OK-8,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
OK-9,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
OK-10,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
OK-13,0,563 fps, 622 fps, 668 fps, 713 fps, 751 fps, 807 fps, 852 fps,X,X,X
