:::NO.,800:656:0:VDEC,800:704:0:VDEC,800:752:0:VDEC,800:792:0:VDEC,800:840:0:VDEC,800:900:0:VDEC,800:1008:0:VDEC,800:1056:0:VDEC,800:1104:0:VDEC
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
